domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
-1.66522,-1.19061,-0.11737,0.454605,-0.412175,-0.00440995,-0.00234329,0.226587,-0.206841,0.00365449,0.999755,0.020768,0.00693237,0.00336772,0.01
-1.94665,-0.907265,-0.127483,0.435139,-0.421248,-0.00568478,-0.00304878,0.216826,-0.211364,0.00304081,0.99972,0.0229361,0.00481871,0.00339811,0.01
-2.19993,-0.634595,-0.136239,0.413139,-0.427594,-0.00704718,-0.00369571,0.205802,-0.21452,0.00237647,0.999678,0.024994,0.0026735,0.00342186,0.01
-2.42693,-0.373445,-0.143526,0.38887,-0.431329,-0.00848244,-0.00426862,0.193646,-0.216366,0.00167029,0.999631,0.0269304,0.000509834,0.00343855,0.01
-2.62537,-0.125014,-0.149334,0.362616,-0.432579,-0.00997578,-0.00475527,0.1805,-0.216967,0.00093114,0.99958,0.0287353,-0.00165983,0.00344785,0.01
-2.79511,0.109831,-0.153627,0.334665,-0.43148,-0.0115121,-0.00514659,0.166509,-0.216392,0.000167999,0.999525,0.0304002,-0.00382374,0.00344951,0.01
-2.93686,0.330505,-0.156387,0.305297,-0.428175,-0.0130759,-0.00543661,0.151812,-0.214711,-0.000610225,0.999467,0.0319182,-0.00597083,0.0034434,0.01
-3.04983,0.536041,-0.157644,0.274798,-0.422815,-0.0146524,-0.00562259,0.136554,-0.212002,-0.00139491,0.999407,0.0332837,-0.00809082,0.00342944,0.01
-3.13484,0.726405,-0.157408,0.24345,-0.415551,-0.0162264,-0.0057047,0.120875,-0.20834,-0.00217774,0.999347,0.0344923,-0.0101742,0.00340765,0.01
-3.19305,0.901643,-0.155704,0.211519,-0.406534,-0.0177835,-0.00568568,0.104908,-0.203802,-0.0029508,0.999288,0.0355413,-0.0122122,0.00337813,0.01
-3.22497,1.06156,-0.152596,0.17927,-0.395919,-0.0193094,-0.00557064,0.0887844,-0.198464,-0.00370675,0.99923,0.0364291,-0.0141968,0.00334106,0.01
-3.23062,1.20558,-0.148176,0.146964,-0.383863,-0.0207912,-0.00536695,0.0726364,-0.192408,-0.00443892,0.999174,0.0371554,-0.0161208,0.00329666,0.01
-3.21232,1.33453,-0.142492,0.11484,-0.370518,-0.0222161,-0.00508337,0.056583,-0.185708,-0.00514119,0.999121,0.0377211,-0.0179779,0.00324524,0.01
-3.17129,1.44886,-0.135633,0.0831275,-0.356029,-0.0235725,-0.00472991,0.0407376,-0.178438,-0.00580819,0.999072,0.0381284,-0.0197622,0.00318716,0.01
-3.10854,1.5489,-0.127698,0.0520421,-0.34054,-0.0248494,-0.00431746,0.0252087,-0.170669,-0.0064353,0.999028,0.0383805,-0.0214689,0.0031228,0.01
-3.02519,1.63421,-0.11883,0.0217902,-0.324198,-0.0260377,-0.00385759,0.0100988,-0.162475,-0.00701868,0.998988,0.0384814,-0.0230936,0.00305261,0.01
